x,area,y
0.08825845,1e-04,-0.0010865033
0.08852477,1e-04,-0.0010855794
0.20110357,1e-04,-0.0012122393
0.1589044,1e-04,-0.0011396706
0.11468797,1e-04,-0.0010480881
0.04772545,1e-04,-0.0011359453
0.010864189,1e-04,-0.0021334626
0.19625315,1e-04,-0.0012073517
0.15910545,1e-04,-0.001140207
0.014733726,1e-04,-0.0013488345
0.011295807,1e-04,-0.0020136274
0.22824073,1e-04,-0.0012283027
0.13289814,1e-04,-0.0010748208
0.19165798,1e-04,-0.0012019873
0.17766131,1e-04,-0.0011804104
0.18787359,1e-04,-0.0011968911
0.2313878,1e-04,-0.0012294054
0.22096753,1e-04,-0.0012253523
0.06250631,1e-04,-0.0011765212
0.20932998,1e-04,-0.0012188852
0.103280805,1e-04,-0.0010514706
0.12022345,1e-04,-0.0010527819
0.04774511,1e-04,-0.0011361092
0.09132567,1e-04,-0.0010766089
0.06936562,1e-04,-0.0011594892
0.122257546,1e-04,-0.0010553896
0.23212539,1e-04,-0.0012296438
0.06388325,1e-04,-0.001174286
0.20197469,1e-04,-0.0012130141
0.049564775,1e-04,-0.0011492074
0.07481688,1e-04,-0.0011391193
0.010078681,1e-04,-0.002379056
0.025459358,1e-04,-0.0008544177
0.1495748,1e-04,-0.0011159778
0.20149596,1e-04,-0.0012125969
0.2023486,1e-04,-0.0012134016
0.056588124,1e-04,-0.0011766106
0.23466109,1e-04,-0.0012305081
0.24605736,1e-04,-0.0012342036
0.07503335,1e-04,-0.0011382401
0.15915641,1e-04,-0.0011403263
0.10383488,1e-04,-0.0010508299
0.18378867,1e-04,-0.0011908114
0.014915736,1e-04,-0.0013248697
0.019247025,1e-04,-0.0009658709
0.18913142,1e-04,-0.0011986792
0.18676601,1e-04,-0.0011953413
0.12895098,1e-04,-0.0010666251
0.24591914,1e-04,-0.001234144
0.17835668,1e-04,-0.0011816919
0.1278823,1e-04,-0.0010645837
0.17276895,1e-04,-0.0011709929
0.07074808,1e-04,-0.001154691
0.07216689,1e-04,-0.0011494756
0.058408305,1e-04,-0.0011784434
0.0073021143,1e-04,-0.003624905
0.03662599,1e-04,-0.0009985194
0.005946674,1e-04,-0.0045424066
0.203798,1e-04,-0.0012146533
0.21711561,1e-04,-0.0012235045
0.020782875,1e-04,-0.0009081438
0.15056646,1e-04,-0.001118511
0.08910606,1e-04,-0.0010836273
0.17564026,1e-04,-0.0011765957
0.24403964,1e-04,-0.0012335181
0.05834746,1e-04,-0.0011783987
0.031785727,1e-04,-0.0009204373
0.1177433,1e-04,-0.0010502338
0.13629358,1e-04,-0.0010825545
0.24288093,1e-04,-0.0012331605
0.012955055,1e-04,-0.001636453
0.10974637,1e-04,-0.001047194
0.17828679,1e-04,-0.0011815131
0.19769976,1e-04,-0.0012089312
0.16174492,1e-04,-0.001146555
0.039082747,1e-04,-0.0010363981
0.050685108,1e-04,-0.0011559874
0.04331105,1e-04,-0.0010925755
0.07374957,1e-04,-0.0011433661
0.16657892,1e-04,-0.0011577904
0.028316017,1e-04,-0.00087366253
0.038366918,1e-04,-0.0010256767
0.18205212,1e-04,-0.00118801
0.016166463,1e-04,-0.0011829659
0.21009414,1e-04,-0.0012193918
0.025282806,1e-04,-0.0008541569
0.037935488,1e-04,-0.001019083
0.15339321,1e-04,-0.0011258125
0.14387792,1e-04,-0.0011012554
0.042917516,1e-04,-0.0010879338
0.014776656,1e-04,-0.0013431124
0.036275636,1e-04,-0.0009928867
0.1604172,1e-04,-0.0011434257
0.08913607,1e-04,-0.001083523
0.22279291,1e-04,-0.001226157
0.23155299,1e-04,-0.001229465
0.0034179005,1e-04,-0.0072369426
0.1397412,1e-04,-0.0010908544
0.0987837,1e-04,-0.0010582954
0.048576884,1e-04,-0.0011424273
0.13483873,1e-04,-0.0010791272
0.036073215,1e-04,-0.0009896159
0.04625668,1e-04,-0.0011233389
0.07746667,1e-04,-0.0011283159
0.20988178,1e-04,-0.0012192428
0.20464875,1e-04,-0.0012153685
0.19355518,1e-04,-0.001204282
0.089813195,1e-04,-0.0010813475
0.045755588,1e-04,-0.0011186153
0.1676973,1e-04,-0.0011603236
0.01565923,1e-04,-0.0012359768
0.11921254,1e-04,-0.0010516793
0.07757742,1e-04,-0.001127854
0.09219563,1e-04,-0.0010740608
0.12854436,1e-04,-0.0010658354
0.118700154,1e-04,-0.0010511726
0.20440122,1e-04,-0.0012151301
0.1688876,1e-04,-0.0011628866
0.13057701,1e-04,-0.0010698587
0.08053338,1e-04,-0.0011157542
0.24452563,1e-04,-0.0012336373
0.18067212,1e-04,-0.001185745
0.05455652,1e-04,-0.00117217
0.04008375,1e-04,-0.0010508597
0.13706167,1e-04,-0.0010843575
0.24889192,1e-04,-0.001235187
0.099674284,1e-04,-0.0010566562
0.13335969,1e-04,-0.0010758042
0.24240032,1e-04,-0.0012329817
0.08703231,1e-04,-0.001090765
0.117255375,1e-04,-0.0010498166
0.039881963,1e-04,-0.0010480061
0.21168612,1e-04,-0.0012204051
0.16048901,1e-04,-0.0011435747
0.22727463,1e-04,-0.0012279451
0.22998501,1e-04,-0.0012289286
0.17673935,1e-04,-0.0011787117
0.01622317,1e-04,-0.0011774004
0.17754777,1e-04,-0.001180172
0.1334998,1e-04,-0.0010761321
0.11312699,1e-04,-0.0010474473
0.11774221,1e-04,-0.0010502487
0.2176843,1e-04,-0.0012238026
0.17267762,1e-04,-0.0011707842
0.010408807,1e-04,-0.002271261
0.13385947,1e-04,-0.0010769516
0.10867017,1e-04,-0.0010474622
0.12397922,1e-04,-0.0010578781
