x,sdf,area,ode
0.61883503,0.38116497,1e-04,-0.0010498762
0.11383875,0.11383875,1e-04,0.02227211
0.68706083,0.31293914,1e-04,-0.00096154213
0.055792198,0.055792198,1e-04,-0.015028
0.20570622,0.20570622,1e-04,0.0015591979
0.997354,0.002646055,1e-04,0.004769683
0.015864136,0.015864136,1e-04,-0.2144885
0.4778332,0.4778332,1e-04,0.0042093396
0.23274232,0.23274232,1e-04,0.0074067116
0.81875974,0.18124026,1e-04,0.0023969412
0.47311443,0.47311443,1e-04,0.0041481853
0.8481675,0.15183252,1e-04,0.0018426776
0.8263717,0.17362827,1e-04,0.0023137927
0.96311074,0.03688925,1e-04,0.0002297759
0.5137108,0.48628917,1e-04,0.0037447214
0.023857662,0.023857662,1e-04,0.025476456
0.5173477,0.4826523,1e-04,0.0036191344
0.67916095,0.32083908,1e-04,-0.0011509657
0.79244053,0.2075595,1e-04,0.0023351312
0.20692086,0.20692086,1e-04,0.0019126534
0.5558911,0.4441089,1e-04,0.0017828345
0.8155135,0.18448654,1e-04,0.0024183393
0.1254536,0.1254536,1e-04,0.015179396
0.8073874,0.19261256,1e-04,0.0024362803
0.78227764,0.21772236,1e-04,0.0021731257
0.7124828,0.2875172,1e-04,-0.00014638901
0.2033072,0.2033072,1e-04,0.0008484721
0.44904804,0.44904804,1e-04,0.0033747554
0.033683773,0.033683773,1e-04,0.17834806
0.36384198,0.36384198,1e-04,-0.0018461943
0.7660073,0.23399271,1e-04,0.0017772913
0.6982252,0.3017748,1e-04,-0.0006363392
0.36973932,0.36973932,1e-04,-0.0016765594
0.62839836,0.37160167,1e-04,-0.0012663603
0.46373242,0.46373242,1e-04,0.0039385557
0.23596947,0.23596947,1e-04,0.007738054
0.44257215,0.44257215,1e-04,0.0030412674
0.53109664,0.46890333,1e-04,0.0030503273
0.85765684,0.14234315,1e-04,0.0015442967
0.17786781,0.17786781,1e-04,-0.0057661533
0.12422821,0.12422821,1e-04,0.0160954
0.4367593,0.4367593,1e-04,0.002703607
0.6472237,0.35277632,1e-04,-0.0014690161
0.58186954,0.41813046,1e-04,0.00040602684
0.88049847,0.119501516,1e-04,0.00068569183
0.34118167,0.34118167,1e-04,-0.0016732216
0.9729707,0.027029276,1e-04,0.0010848641
0.51980615,0.48019388,1e-04,0.0035278797
0.064329445,0.064329445,1e-04,-0.03196025
0.2395244,0.2395244,1e-04,0.008006215
0.9790763,0.020923685,1e-04,0.0017823577
0.73168194,0.2683181,1e-04,0.00058072805
0.9008806,0.099119455,1e-04,-9.059906e-05
0.5879966,0.41200337,1e-04,0.00010943413
0.6719465,0.32805344,1e-04,-0.0012887716
0.47606546,0.47606546,1e-04,0.0041896105
0.6638673,0.3361327,1e-04,-0.0014004707
0.28940597,0.28940597,1e-04,0.004006207
0.31386268,0.31386268,1e-04,0.00054961443
0.6301504,0.36984962,1e-04,-0.00129807
0.25536737,0.25536737,1e-04,0.008043766
0.36486462,0.36486462,1e-04,-0.0018216372
0.8147916,0.18520835,1e-04,0.0024225116
0.42365155,0.42365155,1e-04,0.0018312335
0.6897754,0.3102246,1e-04,-0.0008883476
0.8169016,0.18309839,1e-04,0.0024100542
0.24069923,0.24069923,1e-04,0.008072257
0.9962399,0.003760098,1e-04,0.0045450926
0.082482025,0.082482025,1e-04,-0.003113389
0.11655716,0.11655716,1e-04,0.021029472
0.8841689,0.11583106,1e-04,0.0005402565
0.13713686,0.13713686,1e-04,0.006124139
0.24243791,0.24243791,1e-04,0.008150756
0.80425197,0.19574802,1e-04,0.0024289489
0.4193517,0.4193517,1e-04,0.0015204549
0.59778494,0.4022151,1e-04,-0.00032520294
0.98415065,0.015849352,1e-04,0.0024707913
0.29138792,0.29138792,1e-04,0.0037047863
0.9187944,0.081205636,1e-04,-0.0005937815
0.12508446,0.12508446,1e-04,0.015457988
0.30379593,0.30379593,1e-04,0.0018673539
0.42994174,0.42994174,1e-04,0.0022662282
0.4076071,0.4076071,1e-04,0.00064486265
0.80627203,0.193728,1e-04,0.0024345517
0.09200537,0.09200537,1e-04,0.01352787
0.46332225,0.46332225,1e-04,0.003926754
0.6963468,0.30365315,1e-04,-0.00069487095
0.6918638,0.3081362,1e-04,-0.0008289814
0.22592281,0.22592281,1e-04,0.0064243674
0.86603755,0.13396244,1e-04,0.0012465119
0.17605676,0.17605676,1e-04,-0.0060123205
0.8159889,0.18401112,1e-04,0.0024155974
0.9848355,0.015164517,1e-04,0.0025717616
0.23664166,0.23664166,1e-04,0.007796347
0.017103074,0.017103074,1e-04,-0.22028923
0.39101,0.39101,1e-04,-0.0005518198
0.9914056,0.00859439,1e-04,0.0036381483
0.5897855,0.41021445,1e-04,2.6106834e-05
0.99300563,0.0069943387,1e-04,0.0039268136
0.5835003,0.41649964,1e-04,0.00032556057
0.12553273,0.12553273,1e-04,0.015119195
0.45580646,0.45580646,1e-04,0.0036685467
0.8768411,0.123158894,1e-04,0.00083070993
0.24426858,0.24426858,1e-04,0.008207798
0.71367323,0.28632677,1e-04,-0.00010275841
0.33939183,0.33939183,1e-04,-0.0015966892
0.64490455,0.35509545,1e-04,-0.0014599562
0.45348388,0.45348388,1e-04,0.0035738945
0.33121443,0.33121443,1e-04,-0.0011200905
0.6160573,0.3839427,1e-04,-0.00097322464
0.5606158,0.43938425,1e-04,0.0015261173
0.28075755,0.28075755,1e-04,0.0053038597
0.14289065,0.14289065,1e-04,0.00210917
0.26772773,0.26772773,1e-04,0.0070117116
0.968734,0.031265985,1e-04,0.0006785393
0.7869583,0.2130417,1e-04,0.0022568107
0.11593607,0.11593607,1e-04,0.02134335
0.76964295,0.23035704,1e-04,0.001878798
0.6118885,0.38811147,1e-04,-0.00084650517
0.7350349,0.26496512,1e-04,0.0007081032
0.41144642,0.41144642,1e-04,0.00093334913
0.9668144,0.03318558,1e-04,0.00051379204
0.19892521,0.19892521,1e-04,-0.0004720688
0.96232146,0.037678536,1e-04,0.00017488003
0.12608199,0.12608199,1e-04,0.014702082
0.70052445,0.29947555,1e-04,-0.00056159496
0.14303163,0.14303163,1e-04,0.0020182133
0.796285,0.20371504,1e-04,0.0023770332
0.36726373,0.36726373,1e-04,-0.0017573833
0.9633179,0.03668211,1e-04,0.00024485588
0.59781814,0.40218186,1e-04,-0.00032615662
0.738958,0.261042,1e-04,0.0008571148
0.88337994,0.11662008,1e-04,0.0005713701
0.5705803,0.42941967,1e-04,0.0009896159
